,Unnamed: 0,Date,Opponent,Segment,Arena,Location,Attendance
332,7,"July 16, 2015",Connecticut Sun,Regular season,Madison Square Garden,"New York, NY",8813
333,8,"August 2, 2015",Seattle Storm,Regular season,Madison Square Garden,"New York, NY",10682
334,9,"August 11, 2015",Chicago Sky,Regular season,Madison Square Garden,"New York, NY",9987
335,10,"August 15, 2015",Tulsa Shock,Regular season,Madison Square Garden,"New York, NY",9857
336,11,"August 21, 2015",Atlanta Dream,Regular season,Madison Square Garden,"New York, NY",9303
337,12,"August 28, 2015",Minnesota Lynx,Regular season,Madison Square Garden,"New York, NY",10059
338,13,"September 1, 2015",Atlanta Dream,Regular season,Madison Square Garden,"New York, NY",7482
339,14,"September 3, 2015",Chicago Sky,Regular season,Madison Square Garden,"New York, NY",8496
340,15,"September 9, 2015",Connecticut Sun,Regular season,Madison Square Garden,"New York, NY",7898
341,16,"September 11, 2015",Washington Mystics,Regular season,Madison Square Garden,"New York, NY",9741
342,17,"September 18, 2015",Washington Mystics,Eastern Conference Semifinals,Madison Square Garden,"New York, NY",10120
343,18,"September 22, 2015",Washington Mystics,Eastern Conference Semifinals,Madison Square Garden,"New York, NY",9255
344,19,"September 23, 2015",Indiana Fever,Eastern Conference Finals,Madison Square Garden,"New York, NY",7229
345,20,"September 29, 2015",Indiana Fever,Eastern Conference Finals,Madison Square Garden,"New York, NY",10120
346,0,"May 15, 2016",Dallas Wings,Regular season,Madison Square Garden,"New York, NY",10120
347,1,"May 21, 2016",Los Angeles Sparks,Regular season,Madison Square Garden,"New York, NY",9417
348,2,"May 24, 2016",Atlanta Dream,Regular season,Madison Square Garden,"New York, NY",14503
349,3,"May 31, 2016",Minnesota Lynx,Regular season,Madison Square Garden,"New York, NY",7356
350,4,"June 3, 2016",Indiana Fever,Regular season,Madison Square Garden,"New York, NY",8566
351,5,"June 14, 2016",Dallas Wings,Regular season,Madison Square Garden,"New York, NY",7939
352,6,"June 24, 2016",Chicago Sky,Regular season,Madison Square Garden,"New York, NY",10120
353,7,"June 26, 2016",Phoenix Mercury,Regular season,Madison Square Garden,"New York, NY",9591
354,8,"July 6, 2016",Seattle Storm,Regular season,Madison Square Garden,"New York, NY",9852
355,9,"July 10, 2016",San Antonio Stars,Regular season,Madison Square Garden,"New York, NY",9790
356,10,"July 13, 2016",Atlanta Dream,Regular season,Madison Square Garden,"New York, NY",11317
357,11,"July 17, 2016",Connecticut Sun,Regular season,Madison Square Garden,"New York, NY",9464
358,12,"July 21, 2016",Indiana Fever,Regular season,Madison Square Garden,"New York, NY",11253
359,13,"September 3, 2016",Phoenix Mercury,Regular season,Madison Square Garden,"New York, NY",10026
360,14,"September 7, 2016",Seattle Storm,Regular season,Madison Square Garden,"New York, NY",8159
