,Unnamed: 0,Date,Opponent,Segment,Arena,Location,Attendance
8,8,"July 6, 2003",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",6154
15,15,"August 12, 2003",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",7074
32,13,"September 3, 2004",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",7519
34,15,"September 17, 2004",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",8286
38,19,"October 3, 2004",New York Liberty,Eastern Conference Finals,Mohegan Sun Arena,"Uncasville, CT",6734
49,9,"July 28, 2005",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",6271
54,14,"August 20, 2005",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",8304
61,0,"May 20, 2006",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",8316
75,14,"August 1, 2006",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",7159
85,4,"June 20, 2007",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",6154
93,12,"July 26, 2007",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",7021
102,3,"May 30, 2008",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",7052
109,10,"July 15, 2008",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",8244
116,17,"September 20, 2008",New York Liberty,Eastern Conference Semifinals,Mohegan Sun Arena,"Uncasville, CT",7234
117,18,"September 22, 2008",New York Liberty,Eastern Conference Semifinals,Mohegan Sun Arena,"Uncasville, CT",6011
130,12,"August 19, 2009",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",6050
133,15,"September 4, 2009",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",6685
138,3,"June 4, 2010",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",6493
144,9,"July 20, 2010",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",6478
158,6,"July 19, 2011",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",6096
168,16,"September 11, 2011",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",9115
170,0,"May 20, 2012",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",7118
176,6,"June 15, 2012",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",6522
180,10,"August 18, 2012",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",8232
187,17,"September 27, 2012",New York Liberty,Eastern Conference Semifinals,Mohegan Sun Arena,"Uncasville, CT",5520
190,0,"May 25, 2013",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",7672
203,13,"August 25, 2013",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",7004
207,0,"May 16, 2014",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",6039
213,6,"June 15, 2014",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",5480
236,12,"August 14, 2015",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",5827
239,15,"August 29, 2015",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",5874
247,6,"June 16, 2016",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",4786
261,3,"June 14, 2017",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",4818
271,13,"August 18, 2017",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",7016
282,6,"July 11, 2018",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",7413
287,11,"August 1, 2018",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",6412
303,9,"July 24, 2019",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",8249
319,4,"June 5, 2021",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",2118
329,14,"September 15, 2021",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",4012
342,9,"June 22, 2022",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",4652
345,12,"July 19, 2022",New York Liberty,Regular season,Mohegan Sun Arena,"Uncasville, CT",6288
16,16,"September 11, 2016",New York Liberty,Regular season,College Park Center,"Arlington, TX",5662
22,5,"June 16, 2017",New York Liberty,Regular season,College Park Center,"Arlington, TX",3152
33,16,"September 3, 2017",New York Liberty,Regular season,College Park Center,"Arlington, TX",4701
44,10,"July 17, 2018",New York Liberty,Regular season,College Park Center,"Arlington, TX",6459
61,10,"August 1, 2019",New York Liberty,Regular season,College Park Center,"Arlington, TX",4011
64,13,"August 16, 2019",New York Liberty,Regular season,College Park Center,"Arlington, TX",4070
82,14,"September 11, 2021",New York Liberty,Regular season,College Park Center,"Arlington, TX",2888
100,16,"August 8, 2022",New York Liberty,Regular season,College Park Center,"Arlington, TX",3036
101,17,"August 10, 2022",New York Liberty,Regular season,College Park Center,"Arlington, TX",3795
5,5,"July 1, 1998",New York Liberty,Regular season,Palace of Auburn Hills,"Detroit, MI",9169
14,14,"August 19, 1998",New York Liberty,Regular season,Palace of Auburn Hills,"Detroit, MI",16246
19,4,"June 28, 1999",New York Liberty,Regular season,Palace of Auburn Hills,"Detroit, MI",7194
29,14,"August 13, 1999",New York Liberty,Regular season,Palace of Auburn Hills,"Detroit, MI",12106
33,1,"June 7, 2000",New York Liberty,Regular season,Palace of Auburn Hills,"Detroit, MI",4788
47,15,"August 9, 2000",New York Liberty,Regular season,Palace of Auburn Hills,"Detroit, MI",9124
57,9,"July 18, 2001",New York Liberty,Regular season,Palace of Auburn Hills,"Detroit, MI",13378
65,1,"June 9, 2002",New York Liberty,Regular season,Palace of Auburn Hills,"Detroit, MI",3315
70,6,"July 10, 2002",New York Liberty,Regular season,Palace of Auburn Hills,"Detroit, MI",10893
83,3,"June 20, 2003",New York Liberty,Regular season,Palace of Auburn Hills,"Detroit, MI",8014
94,14,"August 10, 2003",New York Liberty,Regular season,Palace of Auburn Hills,"Detroit, MI",8514
114,12,"July 30, 2004",New York Liberty,Regular season,Palace of Auburn Hills,"Detroit, MI",9453
117,15,"September 14, 2004",New York Liberty,Regular season,Palace of Auburn Hills,"Detroit, MI",7077
119,17,"September 24, 2004",New York Liberty,Eastern Conference Semifinals,tel,"Detroit, MI",9614
122,2,"June 3, 2005",New York Liberty,Regular season,Palace of Auburn Hills,"Detroit, MI",8314
132,12,"August 7, 2005",New York Liberty,Regular season,Palace of Auburn Hills,"Detroit, MI",8941
139,1,"June 1, 2006",New York Liberty,Regular season,Palace of Auburn Hills,"Detroit, MI",7132
151,13,"August 6, 2006",New York Liberty,Regular season,Palace of Auburn Hills,"Detroit, MI",10835
167,7,"July 6, 2007",New York Liberty,Regular season,Palace of Auburn Hills,"Detroit, MI",8949
170,10,"July 18, 2007",New York Liberty,Regular season,Palace of Auburn Hills,"Detroit, MI",14109
177,17,"August 26, 2007",New York Liberty,Eastern Conference Semifinals,Palace of Auburn Hills,"Detroit, MI",9896
178,18,"August 28, 2007",New York Liberty,Eastern Conference Semifinals,Palace of Auburn Hills,"Detroit, MI",10654
186,2,"May 25, 2008",New York Liberty,Regular season,Palace of Auburn Hills,"Detroit, MI",8068
197,13,"August 29, 2008",New York Liberty,Regular season,Palace of Auburn Hills,"Detroit, MI",11516
203,19,"September 28, 2008",New York Liberty,Eastern Conference Finals,EMU Convocation Center,"Ypsilanti, MI",7965
204,20,"September 29, 2008",New York Liberty,Eastern Conference Finals,EMU Convocation Center,"Ypsilanti, MI",7429
214,8,"August 4, 2009",New York Liberty,Regular season,Palace of Auburn Hills,"Detroit, MI",7014
222,16,"September 10, 2009",New York Liberty,Regular season,Palace of Auburn Hills,"Detroit, MI",8178
1,1,"June 26, 1997",New York Liberty,Regular season,Compaq Center,"Houston, TX",8931
3,3,"July 4, 1997",New York Liberty,Regular season,Compaq Center,"Houston, TX",10239
15,15,"August 30, 1997",New York Liberty,Finals,Compaq Center,"Houston, TX",16285
16,0,"June 13, 1998",New York Liberty,Regular season,Compaq Center,"Houston, TX",16285
39,5,"July 3, 1999",New York Liberty,Regular season,Compaq Center,"Houston, TX",12003
52,18,"September 4, 1999",New York Liberty,Finals,Compaq Center,"Houston, TX",16285
53,19,"September 5, 1999",New York Liberty,Finals,Compaq Center,"Houston, TX",16285
54,0,"May 29, 2000",New York Liberty,Regular season,Compaq Center,"Houston, TX",16285
72,18,"August 26, 2000",New York Liberty,Finals,Compaq Center,"Houston, TX",16285
83,10,"July 28, 2001",New York Liberty,Regular season,Compaq Center,"Houston, TX",14566
118,10,"July 26, 2003",New York Liberty,Regular season,Compaq Center,"Houston, TX",11019
129,2,"June 3, 2004",New York Liberty,Regular season,Compaq Center,"Houston, TX",6787
152,8,"July 12, 2005",New York Liberty,Regular season,Compaq Center,"Houston, TX",6885
167,4,"June 9, 2006",New York Liberty,Regular season,Toyota Center,"Houston, TX",7495
195,14,"August 7, 2007",New York Liberty,Regular season,Toyota Center,"Houston, TX",7209
211,13,"September 2, 2008",New York Liberty,Regular season,Reliant Arena,"Houston, TX",5166
2,2,"June 10, 2000",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",11009
5,5,"June 23, 2000",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",13178
24,8,"July 8, 2001",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",8364
34,2,"June 8, 2002",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",7021
42,10,"July 19, 2002",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",6771
48,16,"August 16, 2002",New York Liberty,Eastern Conference Semifinals,Bankers Life Fieldhouse,"Indianapolis, IN",10198
50,1,"June 7, 2003",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",8502
56,7,"July 10, 2003",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",7192
66,0,"May 21, 2004",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",8002
71,5,"June 19, 2004",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",7179
86,3,"June 10, 2005",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",7573
99,16,"August 27, 2005",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",9823
100,17,"September 1, 2005",New York Liberty,Eastern Conference Semifinals,Bankers Life Fieldhouse,"Indianapolis, IN",5085
103,1,"May 30, 2006",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",7629
124,4,"June 10, 2007",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",6938
129,9,"July 12, 2007",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",7095
145,5,"June 18, 2008",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",6333
155,15,"September 11, 2008",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",7062
162,4,"June 27, 2009",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",8481
183,3,"June 5, 2010",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",8090
193,13,"August 3, 2010",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",7540
197,17,"August 29, 2010",New York Liberty,Eastern Conference Semifinals,Bankers Life Fieldhouse,"Indianapolis, IN",7535
199,1,"June 10, 2011",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",7703
210,12,"August 13, 2011",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",9237
215,17,"September 15, 2011",New York Liberty,Eastern Conference Semifinals,Bankers Life Fieldhouse,"Indianapolis, IN",7608
216,18,"September 19, 2011",New York Liberty,Eastern Conference Semifinals,Bankers Life Fieldhouse,"Indianapolis, IN",7368
220,1,"June 2, 2012",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",8006
226,7,"July 10, 2012",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",9216
250,9,"July 23, 2013",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",7577
257,16,"September 13, 2013",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",10571
263,3,"May 31, 2014",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",7025
275,15,"August 14, 2014",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",8030
289,9,"July 29, 2015",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",6807
292,12,"August 23, 2015",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",7240
296,16,"September 13, 2015",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",9210
298,18,"September 27, 2015",New York Liberty,Eastern Conference Finals,Bankers Life Fieldhouse,"Indianapolis, IN",7505
307,6,"June 19, 2016",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",7440
314,13,"September 1, 2016",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",6524
329,10,"July 28, 2017",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",6617
333,14,"August 23, 2017",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",7118
339,3,"June 2, 2018",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",5575
353,0,"June 1, 2019",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",5003
366,13,"August 20, 2019",New York Liberty,Regular season,Bankers Life Fieldhouse,"Indianapolis, IN",5340
377,7,"June 10, 2022",New York Liberty,Regular season,Indiana Farmers Coliseum,"Indianapolis, IN",1393
4,4,"June 22, 2018",New York Liberty,Regular season,Mandalay Bay Events Center,"Las Vegas, NV",5478
15,15,"August 15, 2018",New York Liberty,Regular season,Mandalay Bay Events Center,"Las Vegas, NV",7159
19,2,"June 14, 2019",New York Liberty,Regular season,Mandalay Bay Events Center,"Las Vegas, NV",4110
42,5,"June 15, 2021",New York Liberty,Regular season,Michelob ULTRA Arena,"Las Vegas, NV",2115
43,6,"June 17, 2021",New York Liberty,Regular season,Michelob ULTRA Arena,"Las Vegas, NV",2215
67,11,"July 6, 2022",New York Liberty,Regular season,Michelob ULTRA Arena,"Las Vegas, NV",8405
0,0,"June 21, 1997",New York Liberty,Regular season,Great Western Forum,"Los Angeles, CA",14284
12,12,"August 20, 1997",New York Liberty,Regular season,Great Western Forum,"Los Angeles, CA",14457
14,0,"June 19, 1998",New York Liberty,Regular season,Great Western Forum,"Los Angeles, CA",11191
23,9,"July 21, 1998",New York Liberty,Regular season,Great Western Forum,"Los Angeles, CA",7696
37,8,"July 24, 1999",New York Liberty,Regular season,Great Western Forum,"Los Angeles, CA",6896
59,12,"July 20, 2000",New York Liberty,Regular season,Great Western Forum,"Los Angeles, CA",7269
85,0,"May 25, 2002",New York Liberty,Regular season,Staples Center,"Los Angeles, CA",11289
103,18,"August 31, 2002",New York Liberty,Finals,Staples Center,"Los Angeles, CA",13493
130,4,"June 29, 2004",New York Liberty,Regular season,Staples Center,"Los Angeles, CA",9279
153,8,"July 5, 2005",New York Liberty,Regular season,Staples Center,"Los Angeles, CA",8543
177,14,"July 18, 2006",New York Liberty,Regular season,Staples Center,"Los Angeles, CA",10343
189,6,"June 29, 2007",New York Liberty,Regular season,Staples Center,"Los Angeles, CA",8031
207,7,"July 1, 2008",New York Liberty,Regular season,Staples Center,"Los Angeles, CA",10388
226,7,"August 11, 2009",New York Liberty,Regular season,Staples Center,"Los Angeles, CA",9548
244,6,"June 29, 2010",New York Liberty,Regular season,Staples Center,"Los Angeles, CA",8602
259,3,"June 21, 2011",New York Liberty,Regular season,Staples Center,"Los Angeles, CA",10389
285,12,"August 25, 2012",New York Liberty,Regular season,Staples Center,"Los Angeles, CA",12433
298,6,"July 4, 2013",New York Liberty,Regular season,Staples Center,"Los Angeles, CA",8565
321,10,"July 23, 2014",New York Liberty,Regular season,Staples Center,"Los Angeles, CA",9089
337,8,"July 22, 2015",New York Liberty,Regular season,Staples Center,"Los Angeles, CA",7354
349,2,"June 7, 2016",New York Liberty,Regular season,Staples Center,"Los Angeles, CA",7103
356,9,"July 3, 2016",New York Liberty,Regular season,Staples Center,"Los Angeles, CA",10003
380,12,"August 4, 2017",New York Liberty,Regular season,Staples Center,"Los Angeles, CA",11617
395,6,"June 24, 2018",New York Liberty,Regular season,Staples Center,"Los Angeles, CA",9203
405,16,"August 14, 2018",New York Liberty,Regular season,Staples Center,"Los Angeles, CA",11067
408,1,"June 15, 2019",New York Liberty,Regular season,Staples Center,"Los Angeles, CA",11388
431,5,"June 20, 2021",New York Liberty,Regular season,Los Angeles Convention Center,"Los Angeles, CA",731
449,7,"July 3, 2022",New York Liberty,Regular season,Staples Center,"Los Angeles, CA",5436
14,14,"August 6, 2000",New York Liberty,Regular season,AmericanAirlines Arena,"Miami, FL",8749
16,0,"May 31, 2001",New York Liberty,Regular season,AmericanAirlines Arena,"Miami, FL",9234
19,3,"June 17, 2001",New York Liberty,Regular season,AmericanAirlines Arena,"Miami, FL",8561
32,16,"August 17, 2001",New York Liberty,Eastern Conference Semifinals,AmericanAirlines Arena,"Miami, FL",8935
45,12,"July 23, 2002",New York Liberty,Regular season,AmericanAirlines Arena,"Miami, FL",9921
6,6,"July 17, 1999",New York Liberty,Regular season,Target Center,"Minneapolis, MN",10290
24,8,"July 7, 2000",New York Liberty,Regular season,Target Center,"Minneapolis, MN",7467
39,7,"July 6, 2001",New York Liberty,Regular season,Target Center,"Minneapolis, MN",7031
67,3,"June 6, 2003",New York Liberty,Regular season,Target Center,"Minneapolis, MN",5421
83,1,"May 30, 2004",New York Liberty,Regular season,Target Center,"Minneapolis, MN",6009
110,10,"July 24, 2005",New York Liberty,Regular season,Target Center,"Minneapolis, MN",5703
123,6,"June 24, 2006",New York Liberty,Regular season,Target Center,"Minneapolis, MN",6937
137,3,"June 1, 2007",New York Liberty,Regular season,Target Center,"Minneapolis, MN",6563
157,6,"June 24, 2008",New York Liberty,Regular season,Target Center,"Minneapolis, MN",6280
171,3,"June 23, 2009",New York Liberty,Regular season,Target Center,"Minneapolis, MN",5620
199,14,"August 8, 2010",New York Liberty,Regular season,Target Center,"Minneapolis, MN",9016
217,15,"September 2, 2011",New York Liberty,Regular season,Target Center,"Minneapolis, MN",8929
229,5,"June 21, 2012",New York Liberty,Regular season,Target Center,"Minneapolis, MN",9050
258,12,"August 18, 2013",New York Liberty,Regular season,Target Center,"Minneapolis, MN",9004
268,1,"May 24, 2014",New York Liberty,Regular season,Target Center,"Minneapolis, MN",8323
301,15,"September 6, 2015",New York Liberty,Regular season,Target Center,"Minneapolis, MN",9121
315,6,"June 29, 2016",New York Liberty,Regular season,Target Center,"Minneapolis, MN",7721
319,10,"July 15, 2016",New York Liberty,Regular season,Target Center,"Minneapolis, MN",8123
340,9,"July 25, 2017",New York Liberty,Regular season,Xcel Energy Center,"St. Paul, MN",10123
356,3,"June 16, 2018",New York Liberty,Regular season,Target Center,"Minneapolis, MN",9114
365,12,"July 24, 2018",New York Liberty,Regular season,Target Center,"Minneapolis, MN",9830
376,6,"June 22, 2019",New York Liberty,Regular season,Target Center,"Minneapolis, MN",8600
396,9,"August 15, 2021",New York Liberty,Regular season,Target Center,"Minneapolis, MN",3534
398,11,"August 31, 2021",New York Liberty,Regular season,Target Center,"Minneapolis, MN",3221
406,2,"May 24, 2022",New York Liberty,Regular season,Target Center,"Minneapolis, MN",6104
10,10,"July 29, 1999",New York Liberty,Regular season,Amway Arena,"Orlando, FL",11384
12,12,"August 9, 1999",New York Liberty,Regular season,Amway Arena,"Orlando, FL",9059
24,8,"July 1, 2000",New York Liberty,Regular season,Amway Arena,"Orlando, FL",7339
27,11,"July 14, 2000",New York Liberty,Regular season,Amway Arena,"Orlando, FL",8864
36,3,"June 25, 2001",New York Liberty,Regular season,Amway Arena,"Orlando, FL",6282
53,4,"June 23, 2002",New York Liberty,Regular season,Amway Arena,"Orlando, FL",7911
64,15,"August 13, 2002",New York Liberty,Regular season,Amway Arena,"Orlando, FL",8135
1,1,"July 7, 1997",New York Liberty,Regular season,US Airways Center,"Phoenix, AZ",13731
9,9,"August 12, 1997",New York Liberty,Regular season,US Airways Center,"Phoenix, AZ",16371
14,14,"August 28, 1997",New York Liberty,Semifinals,US Airways Center,"Phoenix, AZ",16751
23,8,"July 18, 1998",New York Liberty,Regular season,US Airways Center,"Phoenix, AZ",14655
42,10,"August 6, 1999",New York Liberty,Regular season,US Airways Center,"Phoenix, AZ",12884
48,0,"May 31, 2000",New York Liberty,Regular season,US Airways Center,"Phoenix, AZ",10540
70,5,"June 21, 2001",New York Liberty,Regular season,US Airways Center,"Phoenix, AZ",8638
106,9,"July 29, 2003",New York Liberty,Regular season,US Airways Center,"Phoenix, AZ",8811
121,7,"June 24, 2004",New York Liberty,Regular season,US Airways Center,"Phoenix, AZ",7975
138,7,"July 21, 2005",New York Liberty,Regular season,US Airways Center,"Phoenix, AZ",6431
158,10,"July 16, 2006",New York Liberty,Regular season,US Airways Center,"Phoenix, AZ",6727
179,14,"August 9, 2007",New York Liberty,Regular season,US Airways Center,"Phoenix, AZ",6971
192,6,"July 5, 2008",New York Liberty,Regular season,US Airways Center,"Phoenix, AZ",6481
204,1,"June 10, 2009",New York Liberty,Regular season,US Airways Center,"Phoenix, AZ",5080
236,9,"July 3, 2010",New York Liberty,Regular season,US Airways Center,"Phoenix, AZ",6780
259,13,"August 23, 2011",New York Liberty,Regular season,US Airways Center,"Phoenix, AZ",8871
274,9,"August 23, 2012",New York Liberty,Regular season,US Airways Center,"Phoenix, AZ",7039
286,4,"July 2, 2013",New York Liberty,Regular season,US Airways Center,"Phoenix, AZ",7636
312,11,"July 26, 2014",New York Liberty,Regular season,US Airways Center,"Phoenix, AZ",9527
330,7,"July 18, 2015",New York Liberty,Regular season,US Airways Center,"Phoenix, AZ",10096
350,8,"July 1, 2016",New York Liberty,Regular season,Talking Stick Resort Arena,"Phoenix, AZ",11606
362,2,"May 23, 2017",New York Liberty,Regular season,Talking Stick Resort Arena,"Phoenix, AZ",7886
368,8,"July 9, 2017",New York Liberty,Regular season,Talking Stick Resort Arena,"Phoenix, AZ",9413
395,16,"August 19, 2018",New York Liberty,Regular season,Talking Stick Resort Arena,"Phoenix, AZ",13106
403,4,"July 5, 2019",New York Liberty,Regular season,Talking Stick Resort Arena,"Phoenix, AZ",9560
411,12,"August 18, 2019",New York Liberty,Regular season,Talking Stick Resort Arena,"Phoenix, AZ",9145
421,5,"June 13, 2021",New York Liberty,Regular season,Phoenix Suns Arena,"Phoenix, AZ",4476
432,16,"September 23, 2021",New York Liberty,First Round,Grand Canyon University Arena,"Phoenix, AZ",5827
446,9,"July 7, 2022",New York Liberty,Regular season,Footprint Center,"Phoenix, AZ",6158
451,14,"August 6, 2022",New York Liberty,Regular season,Footprint Center,"Phoenix, AZ",11724
26,10,"July 24, 2001",New York Liberty,Regular season,Moda Center,"Portland, OR",8038
32,0,"May 29, 2002",New York Liberty,Regular season,Moda Center,"Portland, OR",9386
0,0,"June 23, 1997",New York Liberty,Regular season,ARCO Arena,"Sacramento, CA",15259
11,11,"August 10, 1997",New York Liberty,Regular season,ARCO Arena,"Sacramento, CA",10162
16,2,"June 18, 1998",New York Liberty,Regular season,ARCO Arena,"Sacramento, CA",6053
23,9,"July 24, 1998",New York Liberty,Regular season,ARCO Arena,"Sacramento, CA",8023
35,6,"July 22, 1999",New York Liberty,Regular season,ARCO Arena,"Sacramento, CA",9467
67,5,"June 19, 2001",New York Liberty,Regular season,ARCO Arena,"Sacramento, CA",7648
81,1,"June 13, 2002",New York Liberty,Regular season,ARCO Arena,"Sacramento, CA",6661
105,9,"July 24, 2003",New York Liberty,Regular season,ARCO Arena,"Sacramento, CA",7402
122,7,"July 1, 2004",New York Liberty,Regular season,ARCO Arena,"Sacramento, CA",7826
142,8,"July 22, 2005",New York Liberty,Regular season,ARCO Arena,"Sacramento, CA",6490
167,12,"July 20, 2006",New York Liberty,Regular season,ARCO Arena,"Sacramento, CA",12876
182,6,"June 26, 2007",New York Liberty,Regular season,ARCO Arena,"Sacramento, CA",6464
200,6,"June 28, 2008",New York Liberty,Regular season,ARCO Arena,"Sacramento, CA",6878
221,9,"August 7, 2009",New York Liberty,Regular season,ARCO Arena,"Sacramento, CA",6284
21,4,"June 5, 2004",New York Liberty,Regular season,AT&T Center,"San Antonio, TX",7913
41,7,"July 2, 2005",New York Liberty,Regular season,AT&T Center,"San Antonio, TX",7227
54,3,"June 10, 2006",New York Liberty,Regular season,AT&T Center,"San Antonio, TX",8103
72,4,"June 16, 2007",New York Liberty,Regular season,AT&T Center,"San Antonio, TX",6652
98,10,"July 8, 2008",New York Liberty,Regular season,AT&T Center,"San Antonio, TX",6107
111,0,"June 13, 2009",New York Liberty,Regular season,AT&T Center,"San Antonio, TX",10572
131,2,"May 28, 2010",New York Liberty,Regular season,AT&T Center,"San Antonio, TX",5293
151,4,"July 8, 2011",New York Liberty,Regular season,AT&T Center,"San Antonio, TX",8100
180,15,"September 18, 2012",New York Liberty,Regular season,AT&T Center,"San Antonio, TX",6650
191,8,"July 25, 2013",New York Liberty,Regular season,AT&T Center,"San Antonio, TX",12086
208,8,"July 9, 2014",New York Liberty,Regular season,AT&T Center,"San Antonio, TX",5917
230,12,"August 19, 2015",New York Liberty,Regular season,Freeman Coliseum,"San Antonio, TX",3626
239,4,"June 11, 2016",New York Liberty,Regular season,AT&T Center,"San Antonio, TX",5219
246,11,"August 26, 2016",New York Liberty,Regular season,AT&T Center,"San Antonio, TX",6831
264,12,"August 1, 2017",New York Liberty,Regular season,AT&T Center,"San Antonio, TX",3430
9,9,"July 19, 2000",New York Liberty,Regular season,KeyArena,"Seattle, WA",9395
32,0,"May 30, 2002",New York Liberty,Regular season,KeyArena,"Seattle, WA",7842
57,8,"July 23, 2003",New York Liberty,Regular season,KeyArena,"Seattle, WA",8003
71,5,"June 26, 2004",New York Liberty,Regular season,Spokane Arena,"Spokane, WA",4527
97,9,"July 19, 2005",New York Liberty,Regular season,KeyArena,"Seattle, WA",7361
117,10,"July 14, 2006",New York Liberty,Regular season,KeyArena,"Seattle, WA",8755
132,7,"July 1, 2007",New York Liberty,Regular season,KeyArena,"Seattle, WA",6938
152,9,"July 3, 2008",New York Liberty,Regular season,KeyArena,"Seattle, WA",6973
173,11,"August 8, 2009",New York Liberty,Regular season,KeyArena,"Seattle, WA",7496
190,9,"July 6, 2010",New York Liberty,Regular season,KeyArena,"Seattle, WA",11012
213,11,"August 20, 2011",New York Liberty,Regular season,KeyArena,"Seattle, WA",7139
232,11,"August 26, 2012",New York Liberty,Regular season,KeyArena,"Seattle, WA",6459
242,3,"June 28, 2013",New York Liberty,Regular season,KeyArena,"Seattle, WA",7687
267,10,"July 24, 2014",New York Liberty,Regular season,KeyArena,"Seattle, WA",4863
282,8,"July 21, 2015",New York Liberty,Regular season,KeyArena,"Seattle, WA",4978
295,4,"June 5, 2016",New York Liberty,Regular season,KeyArena,"Seattle, WA",6240
310,2,"May 26, 2017",New York Liberty,Regular season,KeyArena,"Seattle, WA",5860
316,8,"July 6, 2017",New York Liberty,Regular season,KeyArena,"Seattle, WA",4397
340,15,"August 17, 2018",New York Liberty,Regular season,KeyArena,"Seattle, WA",10873
353,6,"July 3, 2019",New York Liberty,Regular season,Alaska Airlines Arena,"Seattle, WA",8710
356,9,"July 14, 2019",New York Liberty,Regular season,Alaska Airlines Arena,"Seattle, WA",6733
